#,Building Name,City,Country,Height (m),Completed,Use
1380,Dongzhao Building,Guangzhou ,China,153,2008,office
1381,Beijing IFC West Tower A/B,Beijing ,China,153,2010,office
1381,Times Square Tower B,Chongqing ,China,153,2003,office
1383,LJZ Plaza,Shanghai ,China,153,1999,office
1384,World Trade Tower,Shanghai ,China,153,1996,hotel / office
1385,Offices and Crowne Plaza Nanchang Riverside,Nanchang ,China,152.9,2011,hotel / office
1386,China Travel Tower,Shenzhen ,China,152.7,2008,office
1387,The Zenith 1,Hong Kong ,China,152.7,2007,residential
1388,Dongguan China Telecom Tower,Dongguan ,China,152.7,2012,office
1389,Robinson Place Tower A,Hong Kong ,China,152.7,1994,residential
1390,Rengfeng Tower,Guangzhou ,China,152.5,2004,office
1391,York Place,Hong Kong ,China,152.5,2009,residential
1392,Bayshore Apartments,Hong Kong ,China,152.4,2001,residential
1393,Hua Mao Building,Shanghai ,China,152.4,2001,hotel / office
1394,Thorn Cliff,Hong Kong ,China,152.1,1982,residential
1395,Riverside Hotel Central Tower,Guangzhou ,China,152,1996,office
1396,Ningbo Gateway North,Ningbo ,China,152,2015,hotel / residential
1397,Genesis Plaza Office Building,Chengdu ,China,152,2013,office
1397,Shenyang Royal Wan Xin International Mansion Tower B,Shenyang ,China,152,2009,multiple
1397,Shenyang Royal Wan Xin International Mansion Tower C,Shenyang ,China,152,2009,multiple
1400,Neo China Top City A2,Chongqing ,China,152,2009,office / residential / retail
1401,Jinyuan Center,Dongguan ,China,152,2001,
1401,Minyoun Tower,Chengdu ,China,152,2014,office
1403,Nanjing Financial City Tower 10,Nanjing ,China,152,2016,office
1403,Nanjing Financial City Tower 8,Nanjing ,China,152,2016,office
1405,Friendship Times Square Tower A,Shenyang ,China,152,2016,office
1406,Zhongxun Times,Chongqing ,China,152,2015,office
1407,Studio City,Macau ,China,152,2015,hotel / casino
1408,Shanghai Central Plaza,Shanghai ,China,151.9,1999,office
1409,World Trade Centre,Hong Kong ,China,151.9,1975,office / retail
1410,Gulf Bank Apartments B,Zhuhai ,China,151.8,2014,residential
1410,Gulf Bank Apartments C,Zhuhai ,China,151.8,2014,residential
1412,Nan Fung Plaza 1,Hong Kong ,China,151.5,2000,residential
1412,Nan Fung Plaza 2,Hong Kong ,China,151.5,2000,residential
1414,New World Tower 1,Hong Kong ,China,151.5,1980,office
1415,Beijing Goldfield Plaza Tower A,Beijing ,China,151.4,2009,office
1416,More Luxurious Mansion 1,Xiamen ,China,151.3,2014,residential
1416,More Luxurious Mansion 2,Xiamen ,China,151.3,2014,residential
1416,More Luxurious Mansion 3,Xiamen ,China,151.3,2014,residential
1419,The Regal Harbour 1,Guangzhou ,China,151.3,2005,residential
1419,The Regal Harbour 2,Guangzhou ,China,151.3,2005,residential
1419,The Regal Harbour 3,Guangzhou ,China,151.3,2005,residential
1422,China Resources Plaza Block A,Chongqing ,China,151.2,2015,office / retail
1423,Oscar by The Sea Tower 3,Hong Kong ,China,151.1,2002,residential
1424,Cartier Manor 2,Nanning ,China,151,2014,residential
1425,Jinhe International Building,Suzhou ,China,151,2004,office
1426,Quanlin International Plaza Main Tower,Guiyang ,China,151,2002,hotel
1426,Shanghai Industrial Investment Building,Shanghai ,China,151,1995,office
1428,Venetian Macau Hotel Tower,Macau ,China,151,2007,hotel / casino
1429,Bank of Communications Building,Nanjing ,China,151,2013,office
1430,Luoyang World Trade Center,Luoyang ,China,151,2011,office
1431,China Central Place Tower 2,Beijing ,China,151,2007,office
1431,Jiangxi Electric Power Mansion,Nanchang ,China,151,2002,office
1433,International Commercial Center,Chongqing ,China,151,2005,office
1434,Dynasty Court Tower 3-5,Hong Kong ,China,150.9,1992,residential
1435,Hongta Hotel,Shanghai ,China,150.8,2001,hotel
1436,Altira Macau,Macau ,China,150.8,2009,hotel / casino
1437,Casin Plaza T1,Chongqing ,China,150.8,2014,office
1438,Riverside Park #6,Laibin ,China,150.8,2014,residential
1438,Riverside Park #7,Laibin ,China,150.8,2014,residential
1438,Riverside Park #8,Laibin ,China,150.8,2014,residential
1438,Riverside Park #9,Laibin ,China,150.8,2014,residential
1442,Skyline Tower,Hong Kong ,China,150.7,2004,office
1443,East Point City Tower 1,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 2,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 3,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 5,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 6,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 7,Hong Kong ,China,150.6,2000,residential
1443,East Point City Tower 8,Hong Kong ,China,150.6,2000,residential
1450,Shun Tak Business Centre,Guangzhou ,China,150.6,2000,office
1451,Foshan Information Building,Foshan ,China,150.6,2003,office
1452,Royal Penisula 2-5,Hong Kong ,China,150.5,2001,residential
1453,The Cosmos 1,Guangzhou ,China,150.4,2006,residential
1453,The Cosmos 2,Guangzhou ,China,150.4,2006,residential
1455,Changchun Jinzuo Building 1,Changchun ,China,150.4,2009,hotel / office
1456,Zhengzhou Hilton Manhattan Hotel,Zhengzhou ,China,150.4,2014,hotel
1457,Sun Tuen Mun Centre 1,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 10,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 2,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 3,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 4,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 5,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 6,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 7,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 8,Hong Kong ,China,150.3,1991,residential
1457,Sun Tuen Mun Centre 9,Hong Kong ,China,150.3,1991,residential
1467,2 Financial Town T3,Chongqing ,China,150.2,2014,office
1468,Robinson Place Tower B,Hong Kong ,China,150.2,1994,residential
1469,Provincial Cultural Center Building 3,Jinan ,China,150.2,2014,
1470,Beilun Financial Center,Ningbo ,China,150.1,2013,office
1471,Broadview Villa,Hong Kong ,China,150,1996,residential
1471,First International 2,Wuxi ,China,150,2008,residential
1471,Xindi Center Residential Tower 1,Hefei ,China,150,2014,residential
1471,Xindi Center Residential Tower 2,Hefei ,China,150,2014,residential
1471,Xindi Center Residential Tower 3,Hefei ,China,150,2014,residential
1471,Xindi Center Residential Tower 4,Hefei ,China,150,2014,residential
1471,Xindi Center Residential Tower 5,Hefei ,China,150,2014,residential
1478,Imperial Phoenix Apartments A,Zhuhai ,China,150,2015,residential
1478,Imperial Phoenix Apartments B,Zhuhai ,China,150,2015,residential
1478,Imperial Phoenix Apartments C,Zhuhai ,China,150,2015,residential
1478,Shimao Bund Garden 1,Fuzhou ,China,150,2008,residential
1482,King Peak Garden Block D,Guangzhou ,China,150,2008,residential
1482,King Peak Garden Block E,Guangzhou ,China,150,2008,residential
1484,Golden Mile Island,Zhuhai ,China,150,2009,residential
1484,Hyde Park C2,Xiamen ,China,150,2014,residential
1484,Hyde Park C4,Xiamen ,China,150,2014,residential
1487,VISTA,Hong Kong ,China,150,2008,residential / retail
1488,Green View Apartments R1,Shenzhen ,China,150,2016,residential
1488,Green View Apartments R2,Shenzhen ,China,150,2016,residential
1488,Green View Apartments R3,Shenzhen ,China,150,2016,residential
1488,Green View Apartments R4,Shenzhen ,China,150,2016,residential
1488,Long Light Water Yue Longwan 10,Nanning ,China,150,2014,residential
1488,Long Light Water Yue Longwan 11,Nanning ,China,150,2014,residential
1494,Panda Mall Hotel,Chengdu ,China,150,2006,hotel
1494,Shenyang Lotte World - Residential 1#,Shenyang ,China,150,2014,residential
1494,Shenyang Lotte World - Residential 2#,Shenyang ,China,150,2014,residential
1494,Shenyang Lotte World - Residential 3#,Shenyang ,China,150,2014,residential
1494,Shenyang Lotte World - Residential 4#,Shenyang ,China,150,2016,residential
1494,Vanke Apartments R1,Zhuhai ,China,150,2012,residential
1500,Guangdong Development Bank Center,Guangzhou ,China,150,1996,office
1500,Hong Heng Century Plaza A,Zhuhai ,China,150,2014,residential
1500,Hong Heng Century Plaza B,Zhuhai ,China,150,2014,residential
1500,Hong Heng Century Plaza C,Zhuhai ,China,150,2014,residential
1500,One City Leader International,Chongqing ,China,150,2006,hotel / office
1505,Xanadu Building,Kunming ,China,150,2016,office
1506,Sichuan Tobacco Tower,Chengdu ,China,150,2010,office
1507,Central Wealth District Block C,Dongguan ,China,150,2007,hotel / office
1507,Fanhua Square,Shenyang ,China,150,2012,office
1507,Hong Kong Plaza 1,Shanghai ,China,150,1999,office
1507,Hong Kong Plaza 2,Shanghai ,China,150,1999,office
1507,Nanchang World Trade Center 2,Nanchang ,China,150,2007,office
1507,Ningbo Shangri-La Hotel,Ningbo ,China,150,2010,hotel
1513,Guangzhou Development Center Building,Guangzhou ,China,150,2004,office
1513,Kai Wah Plaza A,Kunming ,China,150,1999,hotel
1513,Lifan Centre A,Chongqing ,China,150,2014,office
1513,Lifan Centre B,Chongqing ,China,150,2014,office
1513,Sunrise Qiantang Mansion,Hangzhou ,China,150,2008,office
1513,Tencent Tower,Shenzhen ,China,150,2010,office
1513,Zhongguancun Financial Center,Beijing ,China,150,2006,residential / hotel / office
1520,Central International Trade Center Tower B,Beijing ,China,150,2005,office
1520,Intime City,Liuzhou ,China,150,2015,office
1520,Sheng Ao Tower,Hangzhou ,China,150,2008,office
1520,Xi An Hi-Tech International Business Centre Office Tower,Xi’an ,China,150,2002,office
1520,Xuanwu Lake Mingren Tower,Nanjing ,China,150,2004,office
1525,Deji Mansion,Nanjing ,China,150,2003,office
1525,Diamond Plaza Office Building,Chengdu ,China,150,2014,office
1525,Haitong Securities Building,Shanghai ,China,150,2003,office
1525,Hilton Hotel Tower A,Chongqing ,China,150,2002,hotel / office
1525,Hilton Hotel Tower B,Chongqing ,China,150,2002,hotel / office
1525,Huaqiang Square,Shenyang ,China,150,2012,office
1531,Guangming Building,Shanghai ,China,150,2008,office
1531,Redwood Building,Ningbo ,China,150,2014,hotel / retail
1533,GIC Tower,Shanghai ,China,150,2006,office
1533,Novotel Ningbo East,Ningbo ,China,150,2015,hotel
1535,Great Future,Chongqing ,China,150,2005,office
1536,Jinan Center Financial City A6-1,Jinan ,China,150,2016,office
1537,Bank of China,Fuzhou ,China,150,1997,office
1537,New World Minghui Apartments,Shenyang ,China,150,2013,residential
1539,Greatwall Tower 2,Wuhan ,China,150,2015,office / retail
1540,Lucky Mansion,Shanghai ,China,150,1990,
1540,Shanghai Broadcasting & TV Building,Shanghai ,China,150,1996,office
1542,Kunlun Center,Kunming ,China,150,2016,office
1543,Beijing Greenland Center Office Tower 1,Beijing ,China,150,2015,office
1543,Beijing Greenland Center Office Tower 2,Beijing ,China,150,2015,office
1543,Zhuoyue Qianshui Wan Tower 1,Tianjin ,China,150,2013,residential
1543,Zhuoyue Qianshui Wan Tower 2,Tianjin ,China,150,2013,residential
1547,Manulife Tower,Hong Kong ,China,150,1990,office
1548,Serenity Place 1,Hong Kong ,China,149.9,2000,residential
1548,Serenity Place 2,Hong Kong ,China,149.9,2000,residential
1548,Serenity Place 4,Hong Kong ,China,149.9,2000,residential
1548,Serenity Place 5,Hong Kong ,China,149.9,2000,residential
1552,Changfa Center Office Tower 1,Nanjing ,China,149.8,2007,office
1552,Changfa Center Office Tower 2,Nanjing ,China,149.8,2007,office
1554,Port Building,Xiamen ,China,149.7,2012,office
1555,WPP Campus,Shanghai ,China,149.6,2015,office / retail
1556,"Guanyin Mountain Business Center, Building 11",Xiamen ,China,149.4,2009,office
1557,Dayong Commercial Center 2,Shenzhen ,China,149.4,2015,office
1558,Broadview Court 3,Hong Kong ,China,149,2001,residential
1558,Broadview Court 4,Hong Kong ,China,149,2001,residential
1560,Cape Coral A8,Chongqing ,China,149,2009,residential
1560,Cape Coral A9,Chongqing ,China,149,2009,residential
1562,Rainbow Building,Dalian ,China,149,2002,office
1563,Jimei International Tower,Hangzhou ,China,149,2007,office
1564,Nanjing Financial City Tower 1,Nanjing ,China,149,2016,office
1564,Nanjing Financial City Tower 3,Nanjing ,China,149,2016,office
1564,Nanjing Financial City Tower 5,Nanjing ,China,149,2016,office
1567,Renaissance Harbour View Hotel,Hong Kong ,China,148.9,1989,hotel
1568,Maritime Bay 1,Hong Kong ,China,148.9,1998,residential
1568,Maritime Bay 2,Hong Kong ,China,148.9,1998,residential
1570,Heavens A,Xiamen ,China,148.5,2013,residential
1570,Hong Kong Sanitorium & Hospital - Li Shu Pui Block,Hong Kong ,China,148.5,2008,hospital
1572,China Merchants Group Tower,Beijing ,China,148.1,1998,office
1573,Hotel Nikko Dalian,Dalian ,China,148.1,2000,hotel
1574,Villa Esplanada 10,Hong Kong ,China,148,2001,residential
1574,Villa Esplanada 11,Hong Kong ,China,148,2001,residential
1574,Villa Esplanada 8,Hong Kong ,China,148,2001,residential
1574,Villa Esplanada 9,Hong Kong ,China,148,2001,residential
1578,Purple Mountain Hotel,Shanghai ,China,148,1997,hotel
1579,Rich Gate City Phase II Tower C4,Shenyang ,China,148,2014,residential
1580,Binjiang One Cullinan,Nanchang ,China,148,2014,residential
1580,Binjiang One Longxi,Nanchang ,China,148,2014,residential
1582,Xinyu Building,Guangzhou ,China,148,2003,office
1583,Tianjin Department Store,Tianjin ,China,148,1997,office / retail
1584,Xian Kempinski Hotel Phase III,Xi’an ,China,147.9,2015,hotel
1585,Shimao Wulihe City 5#,Shenyang ,China,147.6,2012,residential
1586,Bel Air Heights 1,Hong Kong ,China,147.5,1999,residential
1586,Bel Air Heights 2,Hong Kong ,China,147.5,1999,residential
1588,Birchwood Place,Hong Kong ,China,147.2,1989,residential
1589,3 Financial Town T1,Chongqing ,China,147.1,2015,office
1590,Eton Place Dalian Tower 3,Dalian ,China,147,2010,residential
1590,Eton Place Dalian Tower 4,Dalian ,China,147,2010,residential
1590,Eton Place Dalian Tower 5,Dalian ,China,147,2010,residential
1590,Luxury Horizon 1,Dalian ,China,147,2013,
1590,Luxury Horizon 2,Dalian ,China,147,2013,
1595,L'Hermitage,Macau ,China,147,2008,residential
1596,Weihai CITIC Financial Building,Weihai ,China,147,1998,office
1597,Park Avenue Tower 1,Hong Kong ,China,147,2000,residential
1597,Park Avenue Tower 2,Hong Kong ,China,147,2000,residential
1597,Park Avenue Tower 3,Hong Kong ,China,147,2000,residential
1597,Park Avenue Tower 5,Hong Kong ,China,147,2000,residential
1601,Tsingtao Haier Union Square Tower 2,Nanning ,China,147,2016,office
1602,Radiant Towers 1,Hong Kong ,China,146.9,1997,residential
1602,Radiant Towers 2,Hong Kong ,China,146.9,1997,residential
1604,Hongyun Building Tower B,Shenyang ,China,146.7,2016,residential
1605,The Colonnade,Hong Kong ,China,146.7,2001,residential
1606,Serenity Place 3,Hong Kong ,China,146.5,2000,residential
1607,Shanghai International Trade Center,Shanghai ,China,146.5,1990,office
1608,The Zenith 2,Hong Kong ,China,146,2007,residential
1608,The Zenith 3,Hong Kong ,China,146,2007,residential
1610,Times Mingshi Tower,Guiyang ,China,146,1999,residential
1611,Bank of America Tower,Hong Kong ,China,146,1975,office
1612,Shandong Electric Power Mansion,Jinan ,China,146,1997,office
1612,Xinyuan Mansion,Guangzhou ,China,146,2001,office
1614,Great Eagle Centre,Hong Kong ,China,146,1983,office
1614,Harbour Centre,Hong Kong ,China,146,1983,office
1616,MLC Millennia Plaza,Hong Kong ,China,145.7,1999,office
1617,Kornville Tower 1,Hong Kong ,China,145.6,1995,residential
1617,Kornville Tower 2,Hong Kong ,China,145.6,1995,residential
1619,Hangzhou Bay Lookout Tower,Renhuai ,China,145.6,2009,retail / observation
1620,Grand Terrace,Hong Kong ,China,145.6,2001,residential
1621,Tierra Verde 1,Hong Kong ,China,145,2000,residential
1622,The Pinnacle 1,Hong Kong ,China,145,1999,residential
1622,The Pinnacle 2,Hong Kong ,China,145,1999,residential
1622,The Pinnacle 3,Hong Kong ,China,145,1999,residential
1622,The Pinnacle 4,Hong Kong ,China,145,1999,residential
1626,Broad View Villa,Hong Kong ,China,145,1995,residential
1627,Cartier Manor 1,Nanning ,China,145,2014,residential
1627,Cartier Manor 3,Nanning ,China,145,2014,residential
1627,New Haven 1-3,Hong Kong ,China,145,2003,residential
1630,Yuhuashan Tower,Shanghai ,China,145,2007,residential
1631,Phoenix International Book City West Tower,Suzhou ,China,145,2013,residential / hotel
1632,Overseas Exchange Square 1,Chengdu ,China,145,2005,office
1632,Overseas Exchange Square 2,Chengdu ,China,145,2005,office
1634,Guamai Tower,Wuxi ,China,145,2005,office
1634,Times Square Tower A,Chongqing ,China,145,2003,office
1636,Beijing Silver Tower,Beijing ,China,145,1997,office
1637,The Cosmos 3,Guangzhou ,China,144.8,2006,residential
1637,The Cosmos 4,Guangzhou ,China,144.8,2006,residential
1637,The Cosmos 5,Guangzhou ,China,144.8,2006,residential
1640,International Plaza,Xiamen ,China,144.7,2008,residential
1641,Wuhan Xiehe Hospital Tower,Wuhan ,China,144.7,2006,hospital
1642,Western Harbour Centre,Hong Kong ,China,144.3,1997,office
1643,Three Exchange Square,Hong Kong ,China,144,1988,office
1644,Li Hai · Asia International Lingfeng Block A,Nanning ,China,144,2011,office
1644,Li Hai · Asia International Lingfeng Block B,Nanning ,China,144,2011,office
1646,Broadview Court 1,Hong Kong ,China,143.9,2001,residential
1646,Broadview Court 2,Hong Kong ,China,143.9,2001,residential
1648,Shanghai Arch,Shanghai ,China,143.7,2014,office
1649,iSQUARE,Hong Kong ,China,143.7,2009,retail
1650,Evergrande Huazhi St. Regis Hotel,Chengdu ,China,143.7,2015,hotel
1651,Hilton Shanghai,Shanghai ,China,143.5,1988,hotel
1652,Discovery Park Tower 1,Hong Kong ,China,143.3,1998,residential
1652,Discovery Park Tower 2,Hong Kong ,China,143.3,1998,residential
1652,Discovery Park Tower 3,Hong Kong ,China,143.3,1998,residential
1652,Discovery Park Tower 5,Hong Kong ,China,143.3,1998,residential
1656,Guang Hua Towers,Shanghai ,China,143,2005,education / office
1657,Villa Esplanada 3,Hong Kong ,China,142.6,2001,residential
1657,Villa Esplanada 5,Hong Kong ,China,142.6,2001,residential
1657,Villa Esplanada 6,Hong Kong ,China,142.6,2001,residential
1657,Villa Esplanada 7,Hong Kong ,China,142.6,2001,residential
1661,Dah Sing Financial Centre,Hong Kong ,China,142.5,1991,office
1662,The Waterfront 1,Hong Kong ,China,142.5,2000,residential
1662,The Waterfront 2,Hong Kong ,China,142.5,2000,residential
1662,The Waterfront 3,Hong Kong ,China,142.5,2000,residential
1662,The Waterfront 5,Hong Kong ,China,142.5,2000,residential
1662,The Waterfront 6,Hong Kong ,China,142.5,2000,residential
1662,The Waterfront 7,Hong Kong ,China,142.5,2000,residential
1668,Hongyi Tower,Shanghai ,China,142.4,2006,office
1669,Lanko Conference & Exhibition International Plaza Yunge,Chongqing ,China,142.4,2009,office / residential / retail
1670,Sing Pao Centre,Hong Kong ,China,142.4,2000,residential
1671,633 Kings Road,Hong Kong ,China,142.3,2007,office
1672,Tierra Verde 2,Hong Kong ,China,142.2,1999,residential
1672,Tierra Verde 3,Hong Kong ,China,142.2,1999,residential
1672,Tierra Verde 3A,Hong Kong ,China,142.2,1999,residential
1672,Tierra Verde 5,Hong Kong ,China,142.2,1999,residential
1676,The Manhattan,Hong Kong ,China,142.1,1986,residential
1677,Windsor House,Hong Kong ,China,142,1978,office / retail
1678,Fortune Building Tower A,Nanjing ,China,142,2003,office
1678,Fortune Building Tower B,Nanjing ,China,142,2003,office
1680,CITIC Plaza Apartments I,Guangzhou ,China,142,1996,residential
1680,CITIC Plaza Apartments II,Guangzhou ,China,142,1996,residential
1680,Xinjiang Bank of China,Urumqi ,China,142,2001,office
1683,Shangri-La Hotel Nanchang,Nanchang ,China,142,2014,hotel
1684,Century Emperor North,Chongqing ,China,142,2009,
1685,Morrison Plaza,Hong Kong ,China,142,1996,office
1686,Chongqing Plaza T2,Chongqing ,China,141.6,2015,office / retail
1687,Well On Garden 1,Hong Kong ,China,141.2,1994,residential
1687,Well On Garden 2,Hong Kong ,China,141.2,1994,residential
1687,Well On Garden 3,Hong Kong ,China,141.2,1994,residential
1687,Well On Garden 4,Hong Kong ,China,141.2,1994,residential
1691,Oscar by The Sea Tower 1,Hong Kong ,China,141.2,2002,residential
1692,Nan Fung Plaza 5,Hong Kong ,China,141,2000,residential
1693,Huaguang Building,Wuxi ,China,141,1997,office
1694,Ibis Hong Kong Central and Sheung Wan Hotel,Hong Kong ,China,141,2012,hotel
1695,Shanghai Mart,Shanghai ,China,141,1999,office
1696,Villa Esplanada 1,Hong Kong ,China,140.7,2001,residential
1696,Villa Esplanada 2,Hong Kong ,China,140.7,2001,residential
1698,One AIA Financial Center,Foshan ,China,140.7,2013,office
1699,LG Twin Tower 1,Beijing ,China,140.5,2005,
1699,LG Twin Tower 2,Beijing ,China,140.5,2005,office
1701,Oscar by the Sea Tower 2,Hong Kong ,China,140.4,2002,residential
1702,Century City Crystal Tower,Chengdu ,China,140.1,2008,office
1703,Nan Fung Plaza 6,Hong Kong ,China,140,2000,residential
1704,Lexington Hill,Hong Kong ,China,140,2014,residential
1705,Guigang Golden Age 10#,Guigang ,China,140,2013,residential
1705,Guigang Golden Age 11#,Guigang ,China,140,2014,residential
1707,Jianhui Building,Shanghai ,China,140,1996,office
1708,Imperial Cullinan Tower 1,Hong Kong ,China,140,2012,residential
1708,Imperial Cullinan Tower 2,Hong Kong ,China,140,2012,residential
1708,Imperial Cullinan Tower 3,Hong Kong ,China,140,2012,residential
1708,Imperial Cullinan Tower 5,Hong Kong ,China,140,2012,residential
1708,Imperial Cullinan Tower 8,Hong Kong ,China,140,2012,residential
1708,United Centre,Hong Kong ,China,140,1981,office
1714,Cathay Pacific Plaza 3,Ordos ,China,140,2014,office
1714,Cathay Pacific Plaza 4,Ordos ,China,140,2014,office
1716,Huachuang International Plaza Tower 2,Changsha ,China,140,2016,office
1716,Shenyang Tiandi,Shenyang ,China,140,2013,
1718,God Crown All,Wuzhou ,China,139.8,2011,residential
1719,"Larvotto Towers 1, 2",Hong Kong ,China,139.8,2011,residential
1719,"Larvotto Towers 3, 5, 6, 7",Hong Kong ,China,139.8,2011,residential
1721,Millennium City 1 - Tower 1,Hong Kong ,China,139.8,1998,office
1722,City Heights T2,Chongqing ,China,139.8,2011,residential
1722,City Heights T3,Chongqing ,China,139.8,2011,residential
1724,Chongqing Nationality Plaza A,Chongqing ,China,139.6,1998,office
1725,1 Financial Town T1,Chongqing ,China,139.5,2015,office
1726,Argenta,Hong Kong ,China,139,2013,residential
1727,Princeton Tower,Hong Kong ,China,138.7,2004,residential
1728,Xinyi Mansion,Mianyang ,China,138.7,2001,
1729,Chongqing Plaza T0,Chongqing ,China,138.6,2015,hotel / retail
1730,Wu Chung House,Hong Kong ,China,138.4,1991,office
1731,East,Hong Kong ,China,138.4,2010,hotel
1732,AIA Financial Centre,Hong Kong ,China,138.4,2009,office
1733,Nanning Rong i Qijiang Yue House #2,Nanning ,China,138.3,2015,residential
1734,"The Avenue Phase 2, T1",Hong Kong ,China,138,2015,residential
1735,Grand Parkray Hangzhou Hotel Tower 2,Hangzhou ,China,138,2013,hotel
1735,Guangxi Electric Power Mansion,Nanning ,China,138,1993,office
1737,Kerry Centre,Hong Kong ,China,138,2011,office
1738,Spirit Park View 1#,Guigang ,China,137.8,2016,residential
1738,Spirit Park View 6#,Guigang ,China,137.8,2016,residential
1740,Guangzhou Circle,Guangzhou ,China,137.8,2013,office
1741,Millennium City 1 - Standard Chartered Tower,Hong Kong ,China,137.8,1998,office
1742,International Ocean City 3,Nanning ,China,137.6,2008,office
1743,Guilin Financial Center,Guilin ,China,137.6,2016,office
1744,Berkshire House,Hong Kong ,China,137.2,1998,office
1745,50 Connaught Road Central,Hong Kong ,China,137.2,2011,office
1746,King Peak Garden Block A,Guangzhou ,China,137,2008,residential
1747,Chater House,Hong Kong ,China,137,2002,office
1748,Queen Mary Hospital Block K,Hong Kong ,China,137,1991,hospital
1749,Nan Fung Plaza 3,Hong Kong ,China,136.9,1999,residential
1750,Tierra Verde 9,Hong Kong ,China,136.6,2000,residential
1751,"Larvotto Towers 8, 9, 10",Hong Kong ,China,136.6,2011,residential
1752,Metro City II Tower 1,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 10,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 11,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 2,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 3,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 4,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 5,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 6,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 7,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 8,Hong Kong ,China,136.5,1999,residential
1752,Metro City II Tower 9,Hong Kong ,China,136.5,1999,residential
1763,Wan Chai Tower,Hong Kong ,China,136.5,1985,office
1764,Nanjing World Trade Center Tower 3,Nanjing ,China,136,2016,residential
1764,Nanjing World Trade Center Tower 4,Nanjing ,China,136,2016,residential
1766,Powerlong Center Tower 3,Tianjin ,China,135.9,2015,residential
1767,Shimao Wulihe City 12#,Shenyang ,China,135.6,2014,residential
1768,Bund SOHO,Shanghai ,China,135.6,2015,office
1769,OLIV,Hong Kong ,China,135.6,2014,retail
1770,Sichuan Radio & TV Centre,Chengdu ,China,135.5,2010,office
1771,Top Glory Tower,Hong Kong ,China,135.3,1993,office
1772,Pacific View 1-5,Hong Kong ,China,135,1990,residential
1773,International Ocean City 2,Nanning ,China,135,2008,office
1774,9 Des Voeux Road West,Hong Kong ,China,135,1994,office
1774,Corporate Avenue 3,Chongqing ,China,135,2013,office
1776,China Central Place Tower 3,Beijing ,China,135,2007,office
1776,Jinan Center Financial City A6-3,Jinan ,China,135,2016,office
1776,Qian Tan Office Park T-1,Shanghai ,China,135,2016,office
1779,CASC International Center South Tower,Shenzhen ,China,134.8,2015,office
1780,5 Corporate Avenue,Shanghai ,China,134.6,2014,office
1781,Sheraton Pudong Shanghai Hotel,Shanghai ,China,134.4,2007,hotel
1782,Lerthai Center 4,Shijiazhuang ,China,134,2013,office
1783,3 Financial Town T3,Chongqing ,China,134,2015,office
1784,Tierra Verde 7,Hong Kong ,China,133.8,2000,residential
1784,Tierra Verde 8,Hong Kong ,China,133.8,2000,residential
1786,L'Avenue,Shanghai ,China,133.7,2012,office / retail
1787,One Chinachem Central,Hong Kong ,China,133.6,2016,office / retail
1788,Hongkou SOHO,Shanghai ,China,133.5,2015,office
1789,Regence Royale Tower II,Hong Kong ,China,133.2,2000,residential
1790,Yanlord Marina Center Tower 1,Zhuhai ,China,133.2,2016,residential / retail / hotel
1790,Yanlord Marina Center Tower 2,Zhuhai ,China,133.2,2016,residential / retail / hotel
1790,Yanlord Marina Center Tower 3,Zhuhai ,China,133.2,2016,residential / retail / hotel
1790,Yanlord Marina Center Tower 4,Zhuhai ,China,133.2,2016,residential / retail / hotel
1794,Financial Centre C,Chongqing ,China,133.1,2011,office
1795,Regence Royale Tower I,Hong Kong ,China,133,2000,residential
1796,Jing An Kerry Centre Tower 1,Shanghai ,China,132.8,1998,office
1797,The Riverside 5,Guangzhou ,China,132.7,2009,residential
1797,The Riverside 6,Guangzhou ,China,132.7,2009,residential
1799,Lai Tin House,Hong Kong ,China,132.3,1975,residential
1799,Tai Tin House,Hong Kong ,China,132.3,1975,residential
1801,Grand Hyatt Hong Kong,Hong Kong ,China,132,1989,hotel
1802,Beijing New Town Tower A,Beijing ,China,132,2001,SOHO
